Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s²);Total velocity (m/s);Total acceleration (m/s²);Position East of launch (m);Position North of launch (m);Lateral distance (m);Lateral direction (°);Lateral velocity (m/s);Lateral acceleration (m/s²);Latitude (°);Longitude (°);Gravitational acceleration (m/s²);Angle of attack (°);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s);Mass (g);Propellant mass (g);Longitudinal moment of inertia (kg·m²);Rotational moment of inertia (kg·m²);CP location (mm);CG location (mm);Stability margin calibers (?);Mach number (?);Reynolds number (?);Thrust (N);Drag force (N);Drag coefficient (?);Axial drag coefficient (?);Friction drag coefficient (?);Pressure drag coefficient (?);Base drag coefficient (?);Normal force coefficient (?);Pitch moment coefficient (?);Yaw moment coefficient (?);Side force coefficient (?);Roll moment coefficient (?);Roll forcing coefficient (?);Roll damping coefficient (?);Pitch damping coefficient (?);Coriolis acceleration (m/s²);Reference length (mm);Reference area (m²);Vertical orientation (zenith) (°);Lateral orientation (azimuth) (°);Wind velocity (m/s);Air temperature (°C);Air pressure (mbar);Speed of sound (m/s);Simulation time step (s);Computation time (s)
0;0;0;-9.3012;0;9.3411;0;0;0;0;0;0.86284;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091748;587221;3.82;0;0.86481;-4.7895e-8;0.58682;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0018227
2e-3;0;0;-9.3053;0;9.3452;0;0;0;0;0;0.86323;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.009177;587360;3.86;0;0.86478;-4.7893e-8;0.58679;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0031404
4e-3;0;0;-9.3012;0;9.3411;0;0;0;0;0;0.86284;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091791;587499;3.9;0;0.86475;-4.7892e-8;0.58676;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0035597
6e-3;0;0;-9.297;0;9.337;0;0;0;0;0;0.86246;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091813;587638;3.94;0;0.86472;-4.789e-8;0.58673;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0037424
8e-3;0;0;-9.2929;0;9.3328;0;0;0;0;0;0.86208;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091835;587778;3.98;0;0.86469;-4.7888e-8;0.5867;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0039069
0.01;0;0;-9.2888;0;9.3287;0;0;0;0;0;0.8617;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091857;587917;4.02;0;0.86466;-4.7887e-8;0.58668;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0040747
0.012;0;0;-9.2847;0;9.3245;0;0;0;0;0;0.86131;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091878;588056;4.06;0;0.86463;-4.7885e-8;0.58665;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0042628
0.014;0;0;-9.2806;0;9.3204;0;0;0;0;0;0.86093;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.00919;588195;4.1;0;0.86461;-4.7883e-8;0.58662;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0044346
0.016;0;0;-9.2764;0;9.3163;0;0;0;0;0;0.86055;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0091922;588334;4.14;0;0.86458;-4.7882e-8;0.58659;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0046677
0.018;0;0;-9.2723;0;9.3121;0;0;0;0;0;0.86017;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0091944;588473;4.18;0;0.86455;-4.788e-8;0.58656;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0048698
0.02;0;0;-9.2682;0;9.308;0;0;0;0;0;0.85978;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0091965;588612;4.22;0;0.86452;-4.7879e-8;0.58653;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0051935
0.022;0;0;-9.2654;0;9.3052;0;0;0;0;0;0.85953;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0091987;588751;4.247;0;0.86449;-4.7877e-8;0.5865;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.005466
0.024;0;0;-9.264;0;9.3038;0;0;0;0;0;0.85939;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0092009;588891;4.2609;0;0.86446;-4.7875e-8;0.58647;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0057984
0.026;0;0;-9.2626;0;9.3023;0;0;0;0;0;0.85926;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.009203;589030;4.2748;0;0.86443;-4.7874e-8;0.58644;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0061012
0.028;0;0;-9.2611;0;9.3009;0;0;0;0;0;0.85913;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0092052;589169;4.2887;0;0.8644;-4.7872e-8;0.58641;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0064618
0.03;0;0;-9.2597;0;9.2994;0;0;0;0;0;0.859;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0092074;589308;4.3026;0;0.86437;-4.7871e-8;0.58639;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0067235
0.032;0;0;-9.2583;0;9.298;0;0;0;0;0;0.85886;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0092096;589447;4.3165;0;0.86434;-4.7869e-8;0.58636;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0071154
0.034;0;0;-9.2568;0;9.2966;0;0;0;0;0;0.85873;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.9;6.169;0.014993;NaN;1497.2;NaN;0.0092117;589586;4.3304;0;0.86432;-4.7867e-8;0.58633;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0073903
0.036;0;0;-9.2554;0;9.2951;0;0;0;0;0;0.8586;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.9;6.169;0.014993;NaN;1497.2;NaN;0.0092139;589725;4.3443;0;0.86429;-4.7866e-8;0.5863;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0079884
0.038;0;0;-9.254;0;9.2937;0;0;0;0;0;0.85846;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0092161;589864;4.3583;0;0.86426;-4.7864e-8;0.58627;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0084144
0.04;0;0;-9.2525;0;9.2922;0;0;0;0;0;0.85833;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0092183;5.9e5;4.3722;0;0.86423;-4.7863e-8;0.58624;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0088428
0.042;0;0;-9.2511;0;9.2908;0;0;0;0;0;0.8582;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0092204;590143;4.3861;0;0.8642;-4.7861e-8;0.58621;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0091941
0.044;0;0;-9.2499;0;9.2896;0;0;0;0;0;0.85809;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0092226;590282;4.3978;0;0.86417;-4.7859e-8;0.58618;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0096691
0.046;0;0;-9.25;0;9.2898;0;0;0;0;0;0.8581;-23.364;-48;9.7864;90.161;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0092248;590421;4.3962;0;0.86414;-4.7858e-8;0.58615;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.010037
0.048;0;0;-9.2504;0;9.2902;0;0;0;0;0;0.85814;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.009227;590560;4.3924;0;0.86411;-4.7856e-8;0.58613;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.01039
0.05;0;0;-9.2508;0;9.2905;0;0;0;0;0;0.85817;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0092291;590699;4.3886;0;0.86408;-4.7855e-8;0.5861;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.010734
0.052;0;0;-9.2512;0;9.2909;0;0;0;0;0;0.85821;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.009213;589665;4.3848;0;0.8643;-4.7866e-8;0.58631;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.011104
0.054;0;0;-9.2516;0;9.2913;0;0;0;0;0;0.85825;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0091968;588630;4.381;0;0.86451;-4.7878e-8;0.58653;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.011421
0.056;0;0;-9.252;0;9.2917;0;0;0;0;0;0.85828;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0091806;587596;4.3771;0;0.86473;-4.789e-8;0.58674;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.011706
0.058;0;0;-9.2524;0;9.2921;0;0;0;0;0;0.85832;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0091645;586561;4.3733;0;0.86495;-4.7902e-8;0.58696;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.011885
0.06;0;0;-9.2528;0;9.2925;0;0;0;0;0;0.85836;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0091483;585527;4.3695;0;0.86516;-4.7914e-8;0.58718;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.012062
0.062;0;0;-9.2532;0;9.2929;0;0;0;0;0;0.85839;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0091322;584492;4.3657;0;0.86538;-4.7926e-8;0.58739;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.012225
0.064;0;0;-9.2536;0;9.2933;0;0;0;0;0;0.85843;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.009116;583458;4.3619;0;0.8656;-4.7939e-8;0.58761;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.012391
0.066;0;0;-9.2534;0;9.2931;0;0;0;0;0;0.85841;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0090998;582423;4.3639;0;0.86582;-4.7951e-8;0.58783;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.012615
0.068;0;0;-9.2526;0;9.2923;0;0;0;0;0;0.85833;-23.364;-48;9.7864;90.161;0;0;0;9666.2;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0090837;581389;4.3717;0;0.86604;-4.7963e-8;0.58805;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.013018
0.07;0;0;-9.2518;0;9.2915;0;0;0;0;0;0.85826;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0090675;580354;4.3796;0;0.86626;-4.7975e-8;0.58827;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.013519
0.072;0;0;-9.2509;0;9.2907;0;0;0;0;0;0.85818;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0090513;579320;4.3874;0;0.86648;-4.7987e-8;0.58849;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.013912
0.074;0;0;-9.2501;0;9.2899;0;0;0;0;0;0.85811;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0090352;578285;4.3952;0;0.8667;-4.7999e-8;0.58871;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.01449
0.076;0;0;-9.2493;0;9.289;0;0;0;0;0;0.85803;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.009019;577251;4.403;0;0.86692;-4.8012e-8;0.58893;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.014966
0.078;0;0;-9.2485;0;9.2882;0;0;0;0;0;0.85796;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0090028;576216;4.4109;0;0.86714;-4.8024e-8;0.58915;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.015402
0.08;0;0;-9.2477;0;9.2874;0;0;0;0;0;0.85789;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0089867;575182;4.4187;0;0.86736;-4.8036e-8;0.58938;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.015847
0.082;0;0;-9.2469;0;9.2866;0;0;0;0;0;0.85781;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0089705;574147;4.4265;0;0.86759;-4.8048e-8;0.5896;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.016286
0.084;0;0;-9.2461;0;9.2858;0;0;0;0;0;0.85774;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0089544;573113;4.4343;0;0.86781;-4.8061e-8;0.58982;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.016721
0.086;0;0;-9.2453;0;9.285;0;0;0;0;0;0.85766;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0089382;572078;4.4422;0;0.86803;-4.8073e-8;0.59005;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.017159
0.088;0;0;-9.246;0;9.2857;0;0;0;0;0;0.85772;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.008922;571044;4.4356;0;0.86826;-4.8086e-8;0.59027;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0176
0.09;0;0;-9.2555;0;9.2953;0;0;0;0;0;0.85861;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0089059;570009;4.3427;0;0.86848;-4.8098e-8;0.59049;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.017992
0.092;0;0;-9.2666;0;9.3064;0;0;0;0;0;0.85964;-23.364;-48;9.7864;90.161;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0088897;568975;4.2355;0;0.86871;-4.8111e-8;0.59072;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.01845
0.094;0;0;-9.2776;0;9.3175;0;0;0;0;0;0.86066;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0088735;567940;4.1282;0;0.86893;-4.8123e-8;0.59095;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.018891
0.096;0;0;-9.2887;0;9.3286;0;0;0;0;0;0.86169;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0088574;566906;4.0209;0;0.86916;-4.8136e-8;0.59117;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.01933
0.098;0;0;-9.2997;0;9.3397;0;0;0;0;0;0.86271;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0088412;565871;3.9136;0;0.86939;-4.8148e-8;0.5914;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.019768
0.1;0;0;-9.3108;0;9.3508;0;0;0;0;0;0.86374;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0088251;564837;3.8064;0;0.86961;-4.8161e-8;0.59163;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.020213
0.102;0;0;-9.3218;0;9.3619;0;0;0;0;0;0.86476;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0088249;564824;3.6991;0;0.86962;-4.8161e-8;0.59163;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.02067
0.104;0;0;-9.3329;0;9.373;0;0;0;0;0;0.86579;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0088247;564812;3.5918;0;0.86962;-4.8161e-8;0.59163;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.021172
0.106;0;0;-9.3439;0;9.3841;0;0;0;0;0;0.86681;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0088245;564799;3.4845;0;0.86962;-4.8161e-8;0.59164;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.021596
0.108;0;0;-9.355;0;9.3952;0;0;0;0;0;0.86784;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0088243;564786;3.3773;0;0.86963;-4.8161e-8;0.59164;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.021999
0.11;0;0;-9.3639;0;9.4041;0;0;0;0;0;0.86866;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0088241;564774;3.2912;0;0.86963;-4.8162e-8;0.59164;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.022626
0.112;0;0;-9.3596;0;9.3998;0;0;0;0;0;0.86826;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0088239;564761;3.3327;0;0.86963;-4.8162e-8;0.59164;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.023411
0.114;0;0;-9.3531;0;9.3933;0;0;0;0;0;0.86766;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0088237;564748;3.3955;0;0.86963;-4.8162e-8;0.59165;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.023681
0.116;0;0;-9.3467;0;9.3868;0;0;0;0;0;0.86706;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0088235;564736;3.4582;0;0.86964;-4.8162e-8;0.59165;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.023934
0.118;0;0;-9.3402;0;9.3803;0;0;0;0;0;0.86646;-23.364;-48;9.7864;90.161;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0088233;564723;3.5209;0;0.86964;-4.8162e-8;0.59165;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.02417
0.12;0;0;-9.3337;0;9.3738;0;0;0;0;0;0.86586;-23.364;-48;9.7864;90.161;0;0;0;9665.9;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0088231;564710;3.5836;0;0.86964;-4.8162e-8;0.59166;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.024798
0.122;0;0;-9.3273;0;9.3673;0;0;0;0;0;0.86527;-23.364;-48;9.7864;90.161;0;0;0;9665.9;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0088229;564698;3.6464;0;0.86964;-4.8163e-8;0.59166;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.025288
0.124;0;0;-9.3208;0;9.3608;0;0;0;0;0;0.86467;-23.364;-48;9.7864;90.161;0;0;0;9665.9;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0088227;564685;3.7091;0;0.86965;-4.8163e-8;0.59166;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.02591
