# Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s);Total velocity (m/s);Total acceleration (m/s);Position East of launch (m);Position North of launch (m);Lateral distance (m);Lateral direction ();Lateral velocity (m/s);Lateral acceleration (m/s);Latitude ();Longitude ();Gravitational acceleration (m/s);Angle of attack ();Roll rate (/s);Pitch rate (/s);Yaw rate (/s);Mass (g);Propellant mass (g);Longitudinal moment of inertia (kgm);Rotational moment of inertia (kgm);CP location (mm);CG location (mm);Stability margin calibers (?);Mach number (?);Reynolds number (?);Thrust (N);Drag force (N);Drag coefficient (?);Axial drag coefficient (?);Friction drag coefficient (?);Pressure drag coefficient (?);Base drag coefficient (?);Normal force coefficient (?);Pitch moment coefficient (?);Yaw moment coefficient (?);Side force coefficient (?);Roll moment coefficient (?);Roll forcing coefficient (?);Roll damping coefficient (?);Pitch damping coefficient (?);Coriolis acceleration (m/s);Reference length (mm);Reference area (m);Vertical orientation (zenith) ();Lateral orientation (azimuth) ();Wind velocity (m/s);Air temperature (C);Air pressure (Pa);Speed of sound (m/s);Simulation time step (s);Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0;0;0;-9.3012;0;9.3411;0;0;0;0;0;0.86284;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0099024;633789;3.82;-8.0765e-6;0.85554;-2.453e-4;0.57755;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.0091664
2e-3;0;0;-9.3053;0;9.3452;0;0;0;0;0;0.86323;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098984;633534;3.86;-8.0705e-6;0.85559;-2.4531e-4;0.5776;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.012929
4e-3;0;0;-9.3012;0;9.3411;0;0;0;0;0;0.86284;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098944;633279;3.9;-8.0644e-6;0.85564;-2.4533e-4;0.57765;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.016645
6e-3;0;0;-9.297;0;9.337;0;0;0;0;0;0.86246;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098904;633024;3.94;-8.0584e-6;0.85569;-2.4534e-4;0.5777;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.026212
8e-3;0;0;-9.2929;0;9.3328;0;0;0;0;0;0.86208;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098864;632769;3.98;-8.0523e-6;0.85574;-2.4535e-4;0.57775;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.0292
0.01;0;0;-9.2888;0;9.3287;0;0;0;0;0;0.8617;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098825;632514;4.02;-8.0463e-6;0.85578;-2.4537e-4;0.57779;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.031847
0.012;0;0;-9.2847;0;9.3245;0;0;0;0;0;0.86131;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098785;632259;4.06;-8.0403e-6;0.85583;-2.4538e-4;0.57784;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.034414
0.014;0;0;-9.2806;0;9.3204;0;0;0;0;0;0.86093;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098745;632004;4.1;-8.0343e-6;0.85588;-2.4539e-4;0.57789;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.037869
0.016;0;0;-9.2764;0;9.3163;0;0;0;0;0;0.86055;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098705;631749;4.14;-8.0282e-6;0.85593;-2.4541e-4;0.57794;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.041196
0.018;0;0;-9.2723;0;9.3121;0;0;0;0;0;0.86017;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098665;631494;4.18;-8.0222e-6;0.85598;-2.4542e-4;0.57799;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.044135
0.02;0;0;-9.2682;0;9.308;0;0;0;0;0;0.85978;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098625;631239;4.22;-8.0162e-6;0.85603;-2.4544e-4;0.57804;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.0467
0.022;0;0;-9.2654;0;9.3052;0;0;0;0;0;0.85953;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098586;630984;4.247;-8.0102e-6;0.85608;-2.4545e-4;0.57809;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.049293
0.024;0;0;-9.264;0;9.3038;0;0;0;0;0;0.85939;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098546;630730;4.2609;-8.0041e-6;0.85612;-2.4546e-4;0.57813;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.050705
0.026;0;0;-9.2626;0;9.3023;0;0;0;0;0;0.85926;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098506;630475;4.2748;-7.9981e-6;0.85617;-2.4548e-4;0.57818;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.051833
0.028;0;0;-9.2611;0;9.3009;0;0;0;0;0;0.85913;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098466;630220;4.2887;-7.9921e-6;0.85622;-2.4549e-4;0.57823;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.052979
0.03;0;0;-9.2597;0;9.2994;0;0;0;0;0;0.859;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098426;629965;4.3026;-7.9861e-6;0.85627;-2.4551e-4;0.57828;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.056267
0.032;0;0;-9.2583;0;9.298;0;0;0;0;0;0.85886;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098386;629710;4.3165;-7.9801e-6;0.85632;-2.4552e-4;0.57833;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.058286
0.034;0;0;-9.2568;0;9.2966;0;0;0;0;0;0.85873;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.9;6.169;0.014993;NaN;1497.2;NaN;0.0098346;629455;4.3304;-7.9741e-6;0.85637;-2.4553e-4;0.57838;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.060338
0.036;0;0;-9.2554;0;9.2951;0;0;0;0;0;0.8586;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.9;6.169;0.014993;NaN;1497.2;NaN;0.0098307;629200;4.3443;-7.9681e-6;0.85642;-2.4555e-4;0.57843;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.062334
0.038;0;0;-9.254;0;9.2937;0;0;0;0;0;0.85846;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0098267;628945;4.3583;-7.9621e-6;0.85646;-2.4556e-4;0.57847;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.064489
0.04;0;0;-9.2525;0;9.2922;0;0;0;0;0;0.85833;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0098227;628690;4.3722;-7.9561e-6;0.85651;-2.4558e-4;0.57852;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.067387
0.042;0;0;-9.2511;0;9.2908;0;0;0;0;0;0.8582;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0098187;628435;4.3861;-7.9501e-6;0.85656;-2.4559e-4;0.57857;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.070248
0.044;0;0;-9.2499;0;9.2896;0;0;0;0;0;0.85809;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0098147;628180;4.3978;-7.9441e-6;0.85661;-2.456e-4;0.57862;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.072487
0.046;0;0;-9.25;0;9.2898;0;0;0;0;0;0.8581;-23.364;-48;9.7864;92.806;0;0;0;9666.3;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0098107;627925;4.3962;-7.9381e-6;0.85666;-2.4562e-4;0.57867;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.075636
0.048;0;0;-9.2504;0;9.2902;0;0;0;0;0;0.85814;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0098068;627670;4.3924;-7.9321e-6;0.85671;-2.4563e-4;0.57872;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.077222
0.05;0;0;-9.2508;0;9.2905;0;0;0;0;0;0.85817;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0098028;627415;4.3886;-7.9261e-6;0.85676;-2.4565e-4;0.57877;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.078351
0.052;0;0;-9.2512;0;9.2909;0;0;0;0;0;0.85821;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0097812;626031;4.3848;-7.8936e-6;0.85702;-2.4572e-4;0.57903;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.079627
0.054;0;0;-9.2516;0;9.2913;0;0;0;0;0;0.85825;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0097595;624646;4.381;-7.8612e-6;0.85729;-2.458e-4;0.5793;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.080722
0.056;0;0;-9.252;0;9.2917;0;0;0;0;0;0.85828;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0097379;623262;4.3771;-7.8288e-6;0.85756;-2.4587e-4;0.57957;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.081806
0.058;0;0;-9.2524;0;9.2921;0;0;0;0;0;0.85832;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0097163;621878;4.3733;-7.7965e-6;0.85783;-2.4595e-4;0.57984;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.082894
0.06;0;0;-9.2528;0;9.2925;0;0;0;0;0;0.85836;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.8;6.169;0.014993;NaN;1497.2;NaN;0.0096946;620494;4.3695;-7.7643e-6;0.8581;-2.4603e-4;0.58011;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.08398
0.062;0;0;-9.2532;0;9.2929;0;0;0;0;0;0.85839;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.009673;619109;4.3657;-7.7321e-6;0.85836;-2.4611e-4;0.58038;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.085066
0.064;0;0;-9.2536;0;9.2933;0;0;0;0;0;0.85843;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0096514;617725;4.3619;-7.7e-6;0.85864;-2.4618e-4;0.58065;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.086236
0.066;0;0;-9.2534;0;9.2931;0;0;0;0;0;0.85841;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0096298;616341;4.3639;-7.668e-6;0.85891;-2.4626e-4;0.58092;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.088457
0.068;0;0;-9.2526;0;9.2923;0;0;0;0;0;0.85833;-23.364;-48;9.7864;92.806;0;0;0;9666.2;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0096081;614957;4.3717;-7.636e-6;0.85918;-2.4634e-4;0.58119;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.092205
0.07;0;0;-9.2518;0;9.2915;0;0;0;0;0;0.85826;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0095865;613572;4.3796;-7.604e-6;0.85945;-2.4642e-4;0.58146;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.093396
0.072;0;0;-9.2509;0;9.2907;0;0;0;0;0;0.85818;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0095649;612188;4.3874;-7.5722e-6;0.85973;-2.465e-4;0.58174;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.094597
0.074;0;0;-9.2501;0;9.2899;0;0;0;0;0;0.85811;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0095432;610804;4.3952;-7.5404e-6;0.86;-2.4658e-4;0.58201;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.095706
0.076;0;0;-9.2493;0;9.289;0;0;0;0;0;0.85803;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0095216;609419;4.403;-7.5087e-6;0.86028;-2.4665e-4;0.58229;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.096795
0.078;0;0;-9.2485;0;9.2882;0;0;0;0;0;0.85796;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0095;608035;4.4109;-7.477e-6;0.86055;-2.4673e-4;0.58256;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.097882
0.08;0;0;-9.2477;0;9.2874;0;0;0;0;0;0.85789;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0094784;606651;4.4187;-7.4454e-6;0.86083;-2.4681e-4;0.58284;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.09898
0.082;0;0;-9.2469;0;9.2866;0;0;0;0;0;0.85781;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.7;6.169;0.014993;NaN;1497.2;NaN;0.0094567;605267;4.4265;-7.4138e-6;0.86111;-2.4689e-4;0.58312;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.10013
0.084;0;0;-9.2461;0;9.2858;0;0;0;0;0;0.85774;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0094351;603882;4.4343;-7.3823e-6;0.86139;-2.4697e-4;0.5834;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.1013
0.086;0;0;-9.2453;0;9.285;0;0;0;0;0;0.85766;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0094135;602498;4.4422;-7.3509e-6;0.86167;-2.4705e-4;0.58368;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.10238
0.088;0;0;-9.246;0;9.2857;0;0;0;0;0;0.85772;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0093918;601114;4.4356;-7.3196e-6;0.86195;-2.4713e-4;0.58396;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.10401
0.09;0;0;-9.2555;0;9.2953;0;0;0;0;0;0.85861;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0093702;599730;4.3427;-7.2883e-6;0.86223;-2.4721e-4;0.58424;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.10618
0.092;0;0;-9.2666;0;9.3064;0;0;0;0;0;0.85964;-23.364;-48;9.7864;92.806;0;0;0;9666.1;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0093486;598345;4.2355;-7.257e-6;0.86251;-2.4729e-4;0.58452;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.10735
0.094;0;0;-9.2776;0;9.3175;0;0;0;0;0;0.86066;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.009327;596961;4.1282;-7.2259e-6;0.86279;-2.4738e-4;0.5848;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.10857
0.096;0;0;-9.2887;0;9.3286;0;0;0;0;0;0.86169;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.6;6.169;0.014993;NaN;1497.2;NaN;0.0093053;595577;4.0209;-7.1948e-6;0.86308;-2.4746e-4;0.58509;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.10966
0.098;0;0;-9.2997;0;9.3397;0;0;0;0;0;0.86271;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0092837;594193;3.9136;-7.1637e-6;0.86336;-2.4754e-4;0.58537;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.11076
0.1;0;0;-9.3108;0;9.3508;0;0;0;0;0;0.86374;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0092621;592808;3.8064;-7.1327e-6;0.86365;-2.4762e-4;0.58566;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.11184
0.102;0;0;-9.3218;0;9.3619;0;0;0;0;0;0.86476;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0092631;592872;3.6991;-7.1342e-6;0.86363;-2.4762e-4;0.58565;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.11303
0.104;0;0;-9.3329;0;9.373;0;0;0;0;0;0.86579;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0092641;592937;3.5918;-7.1356e-6;0.86362;-2.4761e-4;0.58563;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.11426
0.106;0;0;-9.3439;0;9.3841;0;0;0;0;0;0.86681;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0092651;593001;3.4845;-7.1371e-6;0.86361;-2.4761e-4;0.58562;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.11575
0.108;0;0;-9.355;0;9.3952;0;0;0;0;0;0.86784;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.6;6.1689;0.014993;NaN;1497.2;NaN;0.0092661;593065;3.3773;-7.1385e-6;0.86359;-2.4761e-4;0.58561;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.11687
0.11;0;0;-9.3639;0;9.4041;0;0;0;0;0;0.86866;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0092671;593129;3.2912;-7.1399e-6;0.86358;-2.476e-4;0.58559;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.11797
0.112;0;0;-9.3596;0;9.3998;0;0;0;0;0;0.86826;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0092681;593194;3.3327;-7.1414e-6;0.86357;-2.476e-4;0.58558;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.11912
0.114;0;0;-9.3531;0;9.3933;0;0;0;0;0;0.86766;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0092691;593258;3.3955;-7.1428e-6;0.86355;-2.4759e-4;0.58557;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.12061
0.116;0;0;-9.3467;0;9.3868;0;0;0;0;0;0.86706;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0092701;593322;3.4582;-7.1442e-6;0.86354;-2.4759e-4;0.58555;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.1225
0.118;0;0;-9.3402;0;9.3803;0;0;0;0;0;0.86646;-23.364;-48;9.7864;92.806;0;0;0;9666;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0092711;593386;3.5209;-7.1457e-6;0.86353;-2.4759e-4;0.58554;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.12497
0.12;0;0;-9.3337;0;9.3738;0;0;0;0;0;0.86586;-23.364;-48;9.7864;92.806;0;0;0;9665.9;1409.5;6.1689;0.014993;NaN;1497.2;NaN;0.0092721;593451;3.5836;-7.1471e-6;0.86351;-2.4758e-4;0.58553;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.12683
