Time [s],Altitude [ft.],Altitude [m],Pressure [mBar],Velocity [m/s],Temperature [°C],Events,Voltages [V]
109,976.5798,297.662,760.9,-20.02971,35.1,-,8.848697
109.05,975.5309,297.342,761,-21.0312,35.1,-,8.848697
109.1,975.5309,297.342,761,-21.0312,35.1,-,8.848697
109.15,973.4327,296.702,761.2,-23.03417,35.1,-,8.848697
109.2,972.3841,296.383,761.3,-23.03417,35.1,-,8.848697
109.25,971.3349,296.063,761.4,-23.03417,35.1,-,8.848697
109.3,970.2866,295.743,761.5,-22.03268,35.1,-,8.848697
109.35,969.2382,295.424,761.6,-22.03268,35.1,-,8.848697
109.4,968.1895,295.104,761.7,-21.0312,35.1,-,8.848697
109.45,966.0928,294.465,761.9,-22.03268,35.1,-,8.848697
109.5,965.045,294.146,762,-22.03268,35,-,8.848697
109.55,963.9973,293.826,762.1,-22.03268,35,-,8.848697
109.6,962.949,293.507,762.2,-22.03268,35,-,8.848697
109.65,961.9014,293.188,762.3,-21.0312,35,-,8.848697
109.7,961.9014,293.188,762.3,-20.02971,35,-,8.848697
109.75,961.9014,293.188,762.3,-19.02823,35,-,8.848697
109.8,961.9014,293.188,762.3,-19.02823,35,-,8.848697
109.85,961.9014,293.188,762.3,-18.02674,35,-,8.848697
109.9,959.8062,292.549,762.5,-20.0152,35,-,8.848697
109.95,957.7114,291.910,762.7,-21.00217,35,-,8.848697
110,957.7114,291.910,762.7,-18.9992,35,-,8.848697
110.05,957.7114,291.910,762.7,-17.99771,35,-,8.848697
110.1,954.5702,290.953,763,-19.98617,35,-,8.848697
110.15,953.5236,290.634,763.1,-20.98766,35,-,8.848697
110.2,952.4764,290.315,763.2,-19.98617,35,-,8.848697
110.25,950.3831,289.677,763.4,-20.97314,35,-,8.848697
110.3,949.3369,289.358,763.5,-20.97314,35,-,8.848697
110.35,948.2909,289.039,763.6,-20.97314,35,-,8.848697
110.4,947.2443,288.720,763.7,-20.97314,35,-,8.848697
110.45,946.1984,288.401,763.8,-20.97314,35,-,8.848697
110.5,945.1521,288.082,763.9,-19.97166,35,-,8.848697
110.55,944.1064,287.764,764,-19.97166,35,-,8.848697
110.6,943.061,287.445,764.1,-19.97166,35,-,8.848697
110.65,943.061,287.445,764.1,-18.97017,35,-,8.848697
110.7,942.015,287.126,764.2,-18.97017,35,-,8.848697
110.75,942.015,287.126,764.2,-18.97017,35,-,8.848697
110.8,939.9238,286.489,764.4,-20.95863,35,-,8.848697
110.85,939.9238,286.489,764.4,-20.95863,35,-,8.848697
110.9,938.8788,286.170,764.5,-21.96012,35,-,8.848697
110.95,937.8339,285.852,764.6,-20.97314,35,-,8.848697
111,936.7883,285.533,764.7,-19.98617,35,-,8.848697
111.05,934.6984,284.896,764.9,-21.97463,35,-,8.848697
111.1,933.6539,284.578,765,-22.97611,35,-,8.848697
111.15,932.6094,284.259,765.1,-20.98766,35,-,8.848697
111.2,932.6094,284.259,765.1,-19.98617,35,-,8.848697
111.25,931.5645,283.941,765.2,-19.98617,35,-,8.848697
111.3,931.5645,283.941,765.2,-17.99771,35,-,8.848697
111.35,930.5204,283.623,765.3,-17.99771,35,-,8.848697
111.4,930.5204,283.623,765.3,-16.99623,35,-,8.848697
111.45,929.4756,283.304,765.4,-16.99623,35,-,8.848697
111.5,928.4317,282.986,765.5,-16.99623,35,-,8.848697
111.55,926.3435,282.349,765.7,-17.9832,35,-,8.848697
111.6,924.2557,281.713,765.9,-18.97017,35,-,8.848697
111.65,923.2123,281.395,766,-18.95566,35,-,8.848697
111.7,922.169,281.077,766.1,-19.94263,35,-,8.848697
111.75,922.169,281.077,766.1,-18.94114,35,-,8.848697
111.8,920.0821,280.441,766.3,-20.9296,35,-,8.848697
111.85,919.0385,280.123,766.4,-19.92811,35,-,8.848697
111.9,917.9957,279.805,766.5,-20.91508,35,-,8.848697
111.95,916.9529,279.487,766.6,-20.90057,35,-,8.848697
112,915.9097,279.169,766.7,-20.88606,35,-,8.848697
112.05,914.8671,278.851,766.8,-20.87154,35,-,8.848697
112.1,913.8241,278.534,766.9,-19.87006,35,-,8.848697
112.15,912.7817,278.216,767,-19.85554,35,-,8.848697
112.2,912.7817,278.216,767,-18.85406,35,-,8.848697
112.25,911.7396,277.898,767.1,-19.84103,35,-,8.848697
112.3,911.7396,277.898,767.1,-18.83954,35,-,8.848697
112.35,910.6968,277.580,767.2,-19.82652,35,-,8.848697
112.4,910.6968,277.580,767.2,-18.82503,35,-,8.848697
112.45,909.6549,277.263,767.3,-19.812,35,-,8.848697
112.5,908.6124,276.945,767.4,-19.79748,35,-,8.848697
112.55,907.5706,276.628,767.5,-19.78297,35,-,8.848697
112.6,907.5706,276.628,767.5,-17.79451,35,-,8.848697
112.65,905.4868,275.992,767.7,-17.79451,35,-,8.848697
112.7,904.4454,275.675,767.8,-17.79451,35,-,8.848697
112.75,902.3622,275.040,768,-18.796,35,-,8.848697
112.8,901.3212,274.723,768.1,-19.78297,35,-,8.848697
112.85,900.2795,274.405,768.2,-18.78148,35,-,8.848697
112.9,899.2387,274.088,768.3,-18.78148,35,-,8.848697
112.95,898.1973,273.771,768.4,-18.78148,35,-,8.848697
113,898.1973,273.771,768.4,-17.79451,35,-,8.848697
113.05,897.1566,273.453,768.5,-17.79451,35,-,8.848697
113.1,897.1566,273.453,768.5,-16.80754,35,-,8.848697
113.15,897.1566,273.453,768.5,-15.82057,35,-,8.848697
113.2,896.1161,273.136,768.6,-15.82057,35,-,8.848697
113.25,895.075,272.819,768.7,-16.80754,35,-,8.848697
113.3,892.9938,272.185,768.9,-17.80903,35,-,8.848697
113.35,891.9537,271.867,769,-18.796,35,-,8.848697
113.4,890.9137,271.550,769.1,-18.796,35,-,8.848697
113.45,888.8334,270.916,769.3,-20.76994,35,-,8.848697
113.5,887.7932,270.599,769.4,-20.76994,35,-,8.848697
113.55,886.7536,270.282,769.5,-20.76994,35,-,8.848697
113.6,886.7536,270.282,769.5,-19.78297,35,-,8.848697
113.65,885.7141,269.966,769.6,-20.76994,35,-,8.848697
113.7,884.6741,269.649,769.7,-19.76846,35,-,8.848697
113.75,883.6349,269.332,769.8,-19.76846,35,-,8.848697
113.8,882.5952,269.015,769.9,-18.76697,35,-,8.848697
113.85,882.5952,269.015,769.9,-17.78,35,-,8.848697
113.9,881.5562,268.698,770,-17.78,35,-,8.848697
113.95,881.5562,268.698,770,-16.79303,35,-,8.848697
114,880.5172,268.382,770.1,-16.79303,35,-,8.848697
114.05,879.4778,268.065,770.2,-17.78,35,-,8.848697
114.1,878.4391,267.748,770.3,-17.78,35,-,8.848697
114.15,877.3999,267.431,770.4,-18.76697,35,-,8.848697
114.2,875.3231,266.798,770.6,-20.74092,35,-,8.848697
114.25,874.2842,266.482,770.7,-20.74092,35,-,8.848697
114.3,873.2461,266.165,770.8,-20.74092,35,-,8.848697
114.35,872.2074,265.849,770.9,-19.73943,35,-,8.848697
114.4,871.1695,265.532,771,-19.73943,35,-,8.848697
114.45,870.1317,265.216,771.1,-19.73943,35,-,8.848697
114.5,869.0933,264.900,771.2,-18.75246,35,-,8.848697
114.55,868.0557,264.583,771.3,-18.75246,34.9,-,8.829249
114.6,867.0176,264.267,771.4,-18.75246,34.9,-,8.829249
114.65,865.9802,263.951,771.5,-19.73943,34.9,-,8.829249
114.7,865.9802,263.951,771.5,-18.75246,34.9,-,8.829249
114.75,864.943,263.635,771.6,-18.75246,34.9,-,8.829249
114.8,863.9052,263.318,771.7,-18.75246,34.9,-,8.829249
114.85,862.8682,263.002,771.8,-18.75246,34.9,-,8.829249
114.9,862.8682,263.002,771.8,-18.75246,34.9,-,8.829249
114.95,861.8305,262.686,771.9,-18.75246,34.9,-,8.829249
115,860.7937,262.370,772,-19.73943,34.9,-,8.829249
115.05,859.757,262.054,772.1,-19.73943,34.9,-,8.829249
115.1,858.7198,261.738,772.2,-19.73943,34.9,-,8.829249
115.15,857.6833,261.422,772.3,-19.73943,34.9,-,8.829249
115.2,856.6462,261.106,772.4,-19.73943,34.9,-,8.829249
115.25,855.61,260.790,772.5,-18.75246,34.9,-,8.829249
115.3,854.5737,260.474,772.6,-18.75246,34.9,-,8.829249
115.35,854.5737,260.474,772.6,-17.76549,34.9,-,8.829249
115.4,853.5371,260.158,772.7,-17.76549,34.9,-,8.829249
115.45,852.5011,259.842,772.8,-17.76549,34.9,-,8.829249
115.5,851.4646,259.526,772.9,-17.76549,34.9,-,8.868145
115.55,850.4289,259.211,773,-17.76549,34.9,-,8.868145
115.6,849.3932,258.895,773.1,-17.76549,34.9,-,8.868145
115.65,848.3571,258.579,773.2,-17.76549,34.9,-,8.868145
115.7,847.3217,258.264,773.3,-17.76549,34.9,-,8.868145
115.75,846.2857,257.948,773.4,-18.75246,34.9,-,8.868145
115.8,845.2505,257.632,773.5,-18.75246,34.9,-,8.868145
115.85,844.2154,257.317,773.6,-18.75246,34.9,-,8.868145
115.9,843.1797,257.001,773.7,-18.75246,34.9,-,8.868145
115.95,843.1797,257.001,773.7,-18.75246,34.9,-,8.868145
116,842.1449,256.686,773.8,-18.75246,34.9,-,8.868145
116.05,842.1449,256.686,773.8,-17.76549,34.9,-,8.868145
116.1,841.1095,256.370,773.9,-17.76549,34.9,-,8.868145
116.15,840.0748,256.055,774,-17.76549,34.9,-,8.868145
116.2,840.0748,256.055,774,-16.77851,34.9,-,8.868145
116.25,839.0403,255.739,774.1,-16.77851,34.9,-,8.868145
116.3,838.0052,255.424,774.2,-16.77851,34.9,-,8.868145
116.35,836.9709,255.109,774.3,-16.77851,34.9,-,8.868145
116.4,836.9709,255.109,774.3,-16.77851,34.9,-,8.868145
116.45,835.936,254.793,774.4,-16.77851,34.9,-,8.868145
116.5,834.9019,254.478,774.5,-16.77851,34.9,-,8.868145
116.55,834.9019,254.478,774.5,-15.79154,35,-,8.848697
116.6,833.8679,254.163,774.6,-15.79154,35,-,8.848697
116.65,831.7996,253.533,774.8,-16.77851,35,-,8.848697
116.7,830.7652,253.217,774.9,-16.77851,35,-,8.848697
116.75,828.6982,252.587,775.1,-17.76549,35,-,8.848697
116.8,827.6642,252.272,775.2,-17.76549,35,-,8.848697
116.85,826.6309,251.957,775.3,-17.76549,35,-,8.848697
116.9,825.5971,251.642,775.4,-17.76549,35,-,8.848697
116.95,824.5641,251.327,775.5,-17.76549,35,-,8.848697
117,824.5641,251.327,775.5,-17.76549,35,-,8.848697
117.05,822.4977,250.697,775.7,-18.75246,35,-,8.848697
117.1,821.465,250.383,775.8,-19.73943,35,-,8.848697
117.15,821.465,250.383,775.8,-18.75246,35,-,8.848697
117.2,820.4318,250.068,775.9,-18.75246,35,-,8.848697
117.25,819.3992,249.753,776,-19.73943,35,-,8.848697
117.3,818.3668,249.438,776.1,-19.73943,35,-,8.848697
117.35,817.3339,249.123,776.2,-19.73943,35,-,8.848697
117.4,816.3018,248.809,776.3,-19.73943,35,-,8.848697
117.45,815.269,248.494,776.4,-20.7264,35,-,8.848697
117.5,814.2371,248.179,776.5,-20.7264,34.9,-,8.848697
117.55,813.2053,247.865,776.6,-20.7264,34.9,-,8.848697
117.6,812.1729,247.550,776.7,-21.71337,34.9,-,8.848697
117.65,811.1412,247.236,776.8,-21.71337,34.9,-,8.848697
117.7,811.1412,247.236,776.8,-19.73943,34.9,-,8.848697
117.75,810.109,246.921,776.9,-19.73943,34.9,-,8.848697
117.8,809.0776,246.607,777,-18.75246,34.9,-,8.848697
117.85,808.0463,246.293,777.1,-18.75246,34.9,-,8.848697
117.9,807.0145,245.978,777.2,-18.75246,34.9,-,8.848697
117.95,807.0145,245.978,777.2,-17.76549,34.9,-,8.848697
118,805.9834,245.664,777.3,-17.76549,34.9,-,8.848697
118.05,804.9518,245.349,777.4,-18.75246,34.9,-,8.848697
118.1,803.9208,245.035,777.5,-17.76549,34.9,-,8.848697
118.15,802.8901,244.721,777.6,-17.76549,34.9,-,8.848697
118.2,801.8588,244.407,777.7,-18.75246,34.9,-,8.848697
118.25,801.8588,244.407,777.7,-17.76549,34.9,-,8.848697
118.3,799.7971,243.778,777.9,-18.73794,34.9,-,8.848697
118.35,798.7668,243.464,778,-18.73794,34.9,-,8.848697
118.4,797.7365,243.150,778.1,-18.73794,34.9,-,8.848697
118.45,796.7057,242.836,778.2,-18.73794,34.9,-,8.848697
118.5,795.6757,242.522,778.3,-18.73794,34.9,-,8.848697
118.55,795.6757,242.522,778.3,-17.75097,34.9,-,8.848697
118.6,794.6451,242.208,778.4,-17.75097,34.9,-,8.848697
118.65,793.6153,241.894,778.5,-17.75097,34.9,-,8.848697
118.7,792.5856,241.580,778.6,-17.75097,34.9,-,8.848697
118.75,791.5554,241.266,778.7,-18.73794,34.9,-,8.848697
118.8,790.5259,240.952,778.8,-18.73794,34.9,-,8.848697
118.85,790.5259,240.952,778.8,-17.75097,34.9,-,8.848697
118.9,790.5259,240.952,778.8,-16.764,34.9,-,8.848697
118.95,789.4959,240.638,778.9,-16.764,34.9,-,8.848697
119,789.4959,240.638,778.9,-16.764,34.9,-,8.848697
119.05,788.4666,240.325,779,-16.764,34.9,-,8.848697
119.1,787.4374,240.011,779.1,-16.764,34.9,-,8.848697
119.15,786.4077,239.697,779.2,-16.764,34.9,-,8.848697
119.2,784.3492,239.070,779.4,-17.73646,34.9,-,8.848697
119.25,783.3206,238.756,779.5,-17.73646,34.9,-,8.848697
119.3,782.2919,238.443,779.6,-18.70891,34.9,-,8.848697
119.35,782.2919,238.443,779.6,-16.74949,34.9,-,8.848697
119.4,782.2919,238.443,779.6,-15.76251,34.9,-,8.848697
119.45,781.2627,238.129,779.7,-15.76251,34.9,-,8.848697
119.5,781.2627,238.129,779.7,-14.77554,34.9,-,8.848697
119.55,780.2343,237.815,779.8,-14.76103,34.9,-,8.848697
119.6,780.2343,237.815,779.8,-14.76103,34.9,-,8.848697
119.65,779.2054,237.502,779.9,-14.76103,34.9,-,8.848697
119.7,778.1771,237.188,780,-14.74651,34.9,-,8.848697
119.75,778.1771,237.188,780,-13.75954,34.9,-,8.848697
119.8,776.1204,236.561,780.2,-14.732,34.9,-,8.848697
119.85,775.0925,236.248,780.3,-14.71748,34.9,-,8.848697
119.9,774.0641,235.935,780.4,-15.68994,34.9,-,8.848697
119.95,773.0365,235.622,780.5,-16.6624,34.9,-,8.848697
120,772.0089,235.308,780.6,-16.64789,34.9,-,8.848697
120.05,770.9808,234.995,780.7,-17.62034,34.9,-,8.848697
120.1,770.9808,234.995,780.7,-16.63337,34.9,-,8.848697
120.15,769.9534,234.682,780.8,-16.61886,34.9,-,8.848697
120.2,767.8984,234.055,781,-17.59131,34.9,-,8.848697
120.25,766.8713,233.742,781.1,-16.60434,34.9,-,8.848697
120.3,765.8438,233.429,781.2,-16.58983,34.9,-,8.848697
120.35,765.8438,233.429,781.2,-15.61737,34.9,-,8.848697
120.4,764.817,233.116,781.3,-16.58983,34.9,-,8.848697
120.45,763.7896,232.803,781.4,-17.56229,34.9,-,8.848697
120.5,762.763,232.490,781.5,-17.54777,34.9,-,8.848697
120.55,761.7365,232.177,781.6,-18.52023,34.9,-,8.848697
120.6,761.7365,232.177,781.6,-17.54777,34.9,-,8.848697
120.65,760.7095,231.864,781.7,-18.52023,34.9,-,8.848697
120.7,760.7095,231.864,781.7,-17.53326,34.9,-,8.848697
120.75,759.6832,231.551,781.8,-17.53326,34.9,-,8.848697
120.8,759.6832,231.551,781.8,-17.53326,34.9,-,8.848697
120.85,758.6563,231.238,781.9,-16.54629,34.9,-,8.848697
120.9,757.6303,230.926,782,-16.54629,34.9,-,8.848697
120.95,756.6043,230.613,782.1,-16.54629,34.9,-,8.848697
121,754.552,229.987,782.3,-17.53326,34.9,-,8.848697
121.05,753.5258,229.675,782.4,-17.53326,34.9,-,8.848697
121.1,752.5002,229.362,782.5,-17.53326,34.9,-,8.848697
121.15,752.5002,229.362,782.5,-17.53326,34.9,-,8.848697
121.2,751.4748,229.050,782.6,-17.53326,34.9,-,8.848697
121.25,751.4748,229.050,782.6,-15.57383,34.9,-,8.848697
121.3,750.4489,228.737,782.7,-15.57383,34.9,-,8.848697
121.35,749.4235,228.424,782.8,-15.57383,34.9,-,8.848697
121.4,748.3978,228.112,782.9,-16.54629,34.9,-,8.848697
121.45,747.3728,227.799,783,-16.54629,34.9,-,8.848697
121.5,746.3479,227.487,783.1,-16.54629,34.9,-,8.848697
121.55,745.3224,227.174,783.2,-16.54629,34.9,-,8.848697
121.6,744.2978,226.862,783.3,-16.54629,34.9,-,8.848697
121.65,743.2725,226.549,783.4,-17.51874,34.9,-,8.848697
121.7,742.248,226.237,783.5,-17.51874,34.9,-,8.848697
121.75,741.2236,225.925,783.6,-18.4912,34.9,-,8.848697
121.8,741.2236,225.925,783.6,-17.51874,34.9,-,8.848697
121.85,740.1987,225.613,783.7,-18.4912,34.9,-,8.848697
121.9,739.1746,225.300,783.8,-18.4912,34.9,-,8.848697
121.95,739.1746,225.300,783.8,-17.51874,34.9,-,8.848697
122,739.1746,225.300,783.8,-16.54629,34.9,-,8.848697
122.05,738.1499,224.988,783.9,-15.55931,34.9,-,8.848697
122.1,738.1499,224.988,783.9,-14.58686,34.9,-,8.848697
122.15,737.1259,224.676,784,-14.58686,34.9,-,8.848697
122.2,736.1021,224.364,784.1,-15.55931,34.9,-,8.848697
122.25,735.0776,224.052,784.2,-15.55931,34.9,-,8.848697
122.3,734.054,223.740,784.3,-16.53177,34.9,-,8.848697
122.35,733.0298,223.427,784.4,-16.53177,34.9,-,8.848697
122.4,732.0064,223.116,784.5,-16.53177,34.9,-,8.848697
122.45,729.9592,222.492,784.7,-17.50423,34.9,-,8.848697
122.5,729.9592,222.492,784.7,-16.53177,34.9,-,8.848697
122.55,727.9125,221.868,784.9,-17.50423,34.8,-,8.848697
122.6,726.8896,221.556,785,-17.50423,34.8,-,8.848697
122.65,726.8896,221.556,785,-16.53177,34.8,-,8.848697
122.7,725.8668,221.244,785.1,-16.53177,34.8,-,8.848697
122.75,725.8668,221.244,785.1,-15.55931,34.8,-,8.848697
122.8,725.8668,221.244,785.1,-14.58686,34.8,-,8.848697
122.85,725.8668,221.244,785.1,-14.58686,34.8,-,8.848697
122.9,725.8668,221.244,785.1,-13.6144,34.8,-,8.848697
122.95,724.8434,220.932,785.2,-13.6144,34.8,-,8.848697
123,723.8209,220.621,785.3,-14.58686,34.8,-,8.848697
123.05,722.7977,220.309,785.4,-15.55931,34.8,-,8.848697
123.1,722.7977,220.309,785.4,-14.58686,34.8,-,8.848697
123.15,721.7754,219.997,785.5,-15.55931,34.8,-,8.848697
123.2,719.7303,219.374,785.7,-16.53177,34.8,-,8.848697
123.25,718.7083,219.062,785.8,-16.53177,34.8,-,8.848697
123.3,716.6638,218.439,786,-17.50423,34.8,-,8.848697
123.35,715.6421,218.128,786.1,-17.50423,34.8,-,8.848697
123.4,714.6198,217.816,786.2,-17.50423,34.8,-,8.848697
123.45,713.5983,217.505,786.3,-17.50423,34.8,-,8.848697
123.5,712.5762,217.193,786.4,-16.53177,34.8,-,8.848697
123.55,711.5549,216.882,786.5,-17.50423,34.8,-,8.848697
123.6,711.5549,216.882,786.5,-15.55931,34.8,-,8.848697
123.65,710.5336,216.571,786.6,-15.55931,34.8,-,8.848697
123.7,709.512,216.259,786.7,-16.53177,34.8,-,8.848697
123.75,708.4909,215.948,786.8,-16.53177,34.8,-,8.848697
123.8,707.4694,215.637,786.9,-17.50423,34.8,-,8.848697
123.85,706.4486,215.326,787,-18.47669,34.8,-,8.848697
123.9,705.4279,215.014,787.1,-19.44914,34.8,-,8.848697
123.95,704.4067,214.703,787.2,-20.4216,34.8,-,8.848697
124,703.3862,214.392,787.3,-20.4216,34.8,-,8.848697
124.05,702.3652,214.081,787.4,-20.4216,34.8,-,8.848697
124.1,701.3449,213.770,787.5,-20.4216,34.8,-,8.848697
124.15,701.3449,213.770,787.5,-20.4216,34.8,-,8.848697
124.2,701.3449,213.770,787.5,-19.44914,34.8,-,8.848697
124.25,700.3248,213.459,787.6,-18.47669,34.8,-,8.848697
124.3,698.2841,212.837,787.8,-19.44914,34.8,-,8.848697
124.35,696.2439,212.215,788,-19.44914,34.8,-,8.848697
124.4,696.2439,212.215,788,-18.47669,34.8,-,8.848697
124.45,696.2439,212.215,788,-17.50423,34.8,-,8.848697
124.5,696.2439,212.215,788,-16.53177,34.8,-,8.848697
124.55,695.2242,211.904,788.1,-16.53177,34.8,-,8.848697
124.6,695.2242,211.904,788.1,-15.55931,34.8,-,8.848697
124.65,694.2041,211.593,788.2,-16.53177,34.8,-,8.848697
124.7,694.2041,211.593,788.2,-15.55931,34.8,-,8.848697
124.75,691.1454,210.661,788.5,-17.50423,34.8,-,8.848697
124.8,689.1067,210.040,788.7,-18.47669,34.8,-,8.848697
124.85,688.0878,209.729,788.8,-18.47669,34.8,-,8.848697
124.9,687.0684,209.418,788.9,-18.47669,34.8,-,8.848697
124.95,685.0311,208.797,789.1,-19.44914,34.8,-,8.848697
125,685.0311,208.797,789.1,-18.47669,34.8,-,8.848697
125.05,684.012,208.487,789.2,-18.47669,34.8,-,8.848697
125.1,682.9935,208.176,789.3,-18.47669,34.8,-,8.848697
125.15,682.9935,208.176,789.3,-17.50423,34.8,-,8.848697
125.2,684.012,208.487,789.2,-16.53177,34.8,-,8.848697
125.25,682.9935,208.176,789.3,-17.50423,34.8,-,8.848697
125.3,681.9747,207.866,789.4,-17.50423,34.8,-,8.848697
125.35,680.9564,207.556,789.5,-16.53177,34.8,-,8.848697
125.4,679.9384,207.245,789.6,-15.55931,34.8,-,8.848697
125.45,679.9384,207.245,789.6,-15.55931,34.8,-,8.848697
125.5,678.9198,206.935,789.7,-16.53177,34.8,-,8.848697
125.55,676.8835,206.314,789.9,-18.47669,34.8,-,8.848697
125.6,675.8658,206.004,790,-18.47669,34.8,-,8.848697
125.65,673.8303,205.383,790.2,-20.4216,34.8,-,8.848697
125.7,672.8129,205.073,790.3,-20.4216,34.8,-,8.848697
125.75,671.795,204.763,790.4,-21.39406,34.8,-,8.848697
125.8,669.7609,204.143,790.6,-20.40708,34.8,-,8.848697
125.85,668.7433,203.833,790.7,-19.43463,34.8,-,8.848697
125.9,668.7433,203.833,790.7,-18.46217,34.8,-,8.848697
125.95,667.7264,203.523,790.8,-18.46217,34.8,-,8.848697
126,667.7264,203.523,790.8,-16.51726,34.8,-,8.848697
126.05,666.7091,203.213,790.9,-17.48971,34.8,-,8.848697
126.1,666.7091,203.213,790.9,-16.51726,34.8,-,8.848697
126.15,666.7091,203.213,790.9,-15.5448,34.8,-,8.848697
126.2,665.6925,202.903,791,-16.51726,34.8,-,8.848697
126.25,664.676,202.593,791.1,-18.46217,34.8,-,8.848697
126.3,664.676,202.593,791.1,-17.48971,34.8,-,8.848697
126.35,663.659,202.283,791.2,-17.48971,34.8,-,8.848697
126.4,660.6097,201.354,791.5,-19.42011,34.8,-,8.848697
126.45,658.5772,200.734,791.7,-20.37806,34.8,-,8.848697
126.5,657.5614,200.425,791.8,-21.35052,34.8,-,8.848697
126.55,655.5295,199.805,792,-22.30846,34.8,-,8.887592
126.6,655.5295,199.805,792,-20.36354,34.8,-,8.887592
126.65,654.5141,199.496,792.1,-20.36354,34.8,-,8.887592
126.7,653.4981,199.186,792.2,-19.39108,34.8,-,8.887592
126.75,653.4981,199.186,792.2,-18.41863,34.8,-,8.887592
126.8,652.4828,198.877,792.3,-18.41863,34.8,-,8.887592
126.85,651.467,198.567,792.4,-17.46069,34.8,-,8.887592
126.9,650.452,198.258,792.5,-17.46069,34.8,-,8.887592
126.95,649.437,197.948,792.6,-18.43314,34.8,-,8.887592
127,648.4216,197.639,792.7,-18.43314,34.8,-,8.887592
127.05,647.4068,197.330,792.8,-19.4056,34.8,-,8.887592
127.1,646.3915,197.020,792.9,-19.4056,34.8,-,8.887592
127.15,646.3915,197.020,792.9,-19.4056,34.8,-,8.887592
127.2,646.3915,197.020,792.9,-19.4056,34.8,-,8.887592
127.25,645.377,196.711,793,-19.4056,34.8,-,8.887592
127.3,643.3476,196.092,793.2,-20.36354,34.8,-,8.887592
127.35,641.3186,195.474,793.4,-22.29394,34.8,-,8.887592
127.4,640.3046,195.165,793.5,-22.29394,34.8,-,8.887592
127.45,639.2906,194.856,793.6,-20.36354,34.8,-,8.887592
127.5,638.2762,194.547,793.7,-19.4056,34.8,-,8.868145
127.55,638.2762,194.547,793.7,-18.43314,34.8,-,8.868145
127.6,637.2625,194.238,793.8,-17.4752,34.8,-,8.868145
127.65,636.2484,193.929,793.9,-18.44766,34.8,-,8.868145
127.7,634.2214,193.311,794.1,-19.4056,34.8,-,8.868145
127.75,633.2075,193.002,794.2,-19.4056,34.8,-,8.868145
127.8,632.1943,192.693,794.3,-20.36354,34.8,-,8.868145
127.85,632.1943,192.693,794.3,-19.39108,34.8,-,8.868145
127.9,631.1806,192.384,794.4,-19.39108,34.8,-,8.868145
127.95,630.1676,192.075,794.5,-19.37657,34.8,-,8.868145
128,629.1547,191.766,794.6,-19.36206,34.8,-,8.868145
128.05,628.1413,191.457,794.7,-19.34754,34.8,-,8.868145
128.1,628.1413,191.457,794.7,-18.37508,34.8,-,8.868145
128.15,627.1286,191.149,794.8,-18.36057,34.8,-,8.868145
128.2,627.1286,191.149,794.8,-18.36057,34.8,-,8.868145
128.25,626.1154,190.840,794.9,-19.31851,34.8,-,8.868145
128.3,625.103,190.531,795,-19.304,34.8,-,8.868145
128.35,624.0906,190.223,795.1,-18.33154,34.8,-,8.868145
128.4,623.0777,189.914,795.2,-17.35909,34.8,-,8.868145
128.45,622.0656,189.606,795.3,-17.34457,34.8,-,8.868145
128.5,621.0528,189.297,795.4,-17.33006,34.8,-,8.868145
128.55,620.0409,188.988,795.5,-17.31554,34.8,-,8.848697
128.6,619.0291,188.680,795.6,-18.27349,34.8,-,8.848697
128.65,618.0167,188.371,795.7,-18.25897,34.8,-,8.848697
128.7,617.005,188.063,795.8,-18.24446,34.8,-,8.848697
128.75,615.9928,187.755,795.9,-17.272,34.8,-,8.848697
128.8,614.9814,187.446,796,-17.25749,34.8,-,8.848697
128.85,613.97,187.138,796.1,-17.25749,34.8,-,8.848697
128.9,612.9582,186.830,796.2,-18.21543,34.8,-,8.848697
128.95,611.947,186.521,796.3,-18.20091,34.8,-,8.848697
129,610.9354,186.213,796.4,-18.20091,34.8,-,8.848697
129.05,609.9244,185.905,796.5,-18.20091,34.8,-,8.848697
129.1,608.9136,185.597,796.6,-18.20091,34.8,-,8.848697
129.15,607.9023,185.289,796.7,-19.15886,34.8,-,8.848697
129.2,606.8917,184.981,796.8,-19.15886,34.8,-,8.848697
129.25,605.8806,184.672,796.9,-20.1168,34.8,-,8.848697
129.3,604.8702,184.364,797,-20.1168,34.8,-,8.848697
129.35,603.8598,184.056,797.1,-20.1168,34.8,-,8.848697
129.4,602.849,183.748,797.2,-20.1168,34.8,-,8.848697
129.45,602.849,183.748,797.2,-19.15886,34.8,-,8.848697
129.5,602.849,183.748,797.2,-18.20091,34.8,-,8.848697
129.55,601.8389,183.440,797.3,-18.20091,34.8,-,8.848697
129.6,599.8184,182.825,797.5,-19.17337,34.8,-,8.848697
129.65,598.8086,182.517,797.6,-19.17337,34.8,-,8.848697
129.7,597.7982,182.209,797.7,-19.17337,34.8,-,8.848697
129.75,596.7886,181.901,797.8,-19.17337,34.8,-,8.848697
129.8,595.7786,181.593,797.9,-19.17337,34.8,-,8.848697
129.85,594.7692,181.286,798,-19.17337,34.8,-,8.848697
129.9,592.7501,180.670,798.2,-20.13132,34.8,-,8.848697
129.95,591.741,180.363,798.3,-20.13132,34.8,-,8.848697
130,590.7314,180.055,798.4,-20.13132,34.8,-,8.848697
130.05,589.7225,179.747,798.5,-20.13132,34.8,-,8.848697
